oslaua,la_name,charity_count_local,charitable_spending_local,Pct_Leave,population,perhead_charity_count,perhead_charity_count_local,perhead_charitable_spending_local,IMD_average_score,IMD_extent,IMD_concentration,public_ core_spend_m,public_ core_spend_m_rank,public_core_spend_per_head,public_core_spend_per_head_rank,threesixty_total_amount,threesixty_blf,threesixty_blf_amount,threesixty_charity,threesixty_charity_amount,threesixty_national,threesixty_national_amount,threesixty_total,threesixty_total_amount
E07000149,South Norfolk,442,80.11543496,51.69,131010,0.004305015,0.003373788,611.5215248,13.027,0.0019,21161.02,15.663297,164,119.5580261,115,1525045,23,1628966,24,2127507,39,2426663,46,2464434
E07000108,Dover,272,25.32576039,62.15,113228,0.002711343,0.002402233,223.6704736,21.589,0.1685,29866.95,13.55786307,129,119.7394909,116,6271072,9,72556,4,89778,15,351945,15,351945
E07000088,Gosport,90,8.038869804,63.86,84672,0.001346372,0.001062925,94.9413006,20.613,0.1576,29297.43,10.16039814,48,119.9971436,117,204667,12,321487,15,339477,18,372287,21,389687
E07000075,Rochford,102,3.991501196,66.61,85144,0.00156206,0.00119797,46.87941835,11.033,0.0174,22832.57,10.22353201,52,120.0734287,118,2257574.09,11,90009,9,121149,17,284999,18,285839
E07000241,Welwyn Hatfield,161,35.91289162,52.99,119016,0.002041742,0.001352759,301.748434,12.875,0.0128,22665.18,14.29232687,145,120.0874409,119,978729,4,75600,3,22650,8,149786,9,164786
E07000031,South Lakeland,488,41.57299308,47.14,103454,0.005915673,0.004717072,401.8500307,12.232,0,20373.93,12.43727187,106,120.2203092,120,1221852,6,392564,4,333129,10,430493,10,430493
E07000004,Aylesbury Vale,516,58.0088055,50.5,188707,0.003651163,0.002734398,307.4014504,11.175,0.0253,24413.14,22.7372586,198,120.4897465,121,2613198,7,60614,3,25445,8,70484,8,70484
E07000080,Forest of Dean,242,10.50518745,58.58,84544,0.003583933,0.002862415,124.2570431,16.991,0.035,25052.29,10.19122477,50,120.5434421,122,61973,5,45253,2,15230,7,61973,7,61973
E07000140,South Holland,192,8.116188461,73.59,91214,0.002433837,0.00210494,88.97963537,18.579,0.0211,24325.29,11.02233714,71,120.8404098,123,2046931,12,1135176,10,1189436,17,1189274,19,1276539
E07000188,Sedgemoor,286,7.004033675,61.2,120260,0.002968568,0.002378181,58.24075898,19.506,0.1457,29415.36,14.54225005,150,120.9234163,124,1399653,13,591991,19,1429316,31,1620309,33,1933821
E07000107,Dartford,114,8.113832602,64.22,103892,0.001751819,0.001097293,78.09872369,17.845,0.0898,28472.08,12.57534584,110,121.0424849,125,1276539,11,85819,10,864196,14,848416,18,1037105.86
E07000044,South Hams,347,17.53632674,47.15,84470,0.005161596,0.004107967,207.6041996,14.072,0.0037,21433.53,10.2374034,53,121.195731,126,1481740,9,1293920,16,1884140,21,1789303,24,1990303
E07000071,Colchester,336,39.84321957,53.6,183939,0.002381224,0.001826693,216.6110481,16.941,0.0912,28291.96,22.2971448,197,121.220322,127,3577440,17,5460335,23,5534475,29,6090005,34,6753805
E07000045,Teignbridge,388,43.09930393,53.9,128826,0.003687144,0.003011814,334.5543907,16.525,0.0548,26269.66,15.62724527,162,121.305057,128,62025,11,363270,4,33652,12,660986,12,660986
